Subject,Date,Trial,File,0,30,60,90,120,150,180,210,240,270,FinalScore
105,1/29,1,kin_stat1_2016Y_01M_29D_14h_48m_17s_S3-subject-105_trials_2.mat,31,30,28,28,28,31,28,28,28,28,-9
105,2/03,1,kin_stat1_2016Y_02M_03D_14h_34m_38s_S3-subject-105_trials_2.mat,31,28,28,28,31,30,28,31,31,28,-2
105,3/04,2,kin_stat1_2016Y_03M_04D_14h_23m_06s_S3-subject-105_trials_3.mat,28,28,28,28,28,28,31,31,31,28,-8
105,3/09,1,kin_stat1_2016Y_03M_09D_13h_28m_02s_S3-subject-105_trials_3.mat,32,28,30,31,28,31,28,28,30,31,3
105,3/25,1,kin_stat1_2016Y_03M_25D_14h_40m_48s_S3-subject-105_trials_3.mat,31,32,32,32,32,33,32,32,31,30,21
105,4/01,1,kin_stat1_2016Y_04M_01D_14h_34m_36s_S3-subject-105_trials_3.mat,31,32,31,31,30,28,28,28,30,30,6
105,4/08,3,kin_stat1_2016Y_04M_08D_14h_32m_07s_S3-subject-105_trials_3.mat,31,32,30,28,28,30,32,32,32,32,15
105,4/15,2,kin_stat1_2016Y_04M_15D_14h_28m_00s_S3-subject-105_trials_3.mat,30,32,32,32,31,32,32,28,33,32,23
105,5/20,1,kin_stat1_2016Y_05M_20D_14h_28m_31s_S3-subject-105_trials_3.mat,31,32,32,28,30,28,32,32,28,32,12
105,5/25,1,kin_stat1_2016Y_05M_25D_12h_37m_05s_S3-subject-105_trials_3.mat,32,32,32,32,32,32,32,32,33,33,32
105,6/01,2,kin_stat1_2016Y_06M_01D_13h_14m_35s_S3-subject-105_trials_3.mat,32,32,32,32,28,32,28,31,32,28,14
105,6/08,1,kin_stat1_2016Y_06M_08D_13h_18m_56s_S3-subject-105_trials_3.mat,28,30,31,32,33,33,31,30,28,28,11
20,7/24,2,kin_stat1_2015Y_07M_24D_13h_22m_50s_S3-subject-20_trials_3.mat,31,30,31,31,29,31,31,32,31,30,16
20,8/04,1,kin_stat1_2015Y_08M_04D_11h_10m_31s_S3-subject-20_trials_3.mat,31,28,31,31,32,31,31,30,31,32,17
20,8/18,3,kin_stat1_2015Y_08M_18D_11h_19m_04s_S3-subject-20_trials_3.mat,33,32,32,28,31,32,31,32,32,31,23
20,8/28,3,kin_stat1_2015Y_08M_28D_14h_20m_48s_S3-subject-20_trials_3.mat,32,33,32,32,33,32,32,32,33,33,34
20,9/04,1,kin_stat1_2015Y_09M_04D_13h_21m_30s_S3-subject-20_trials_3.mat,32,33,32,32,32,32,33,33,33,32,34
21,8/11,2,kin_stat1_2015Y_08M_11D_14h_52m_17s_S3-subject-21_trials_2.mat,30,31,32,33,32,33,32,33,33,32,31
21,8/26,1,kin_stat1_2015Y_08M_26D_11h_31m_10s_S3-subject-21_trials_3.mat,28,31,28,31,32,33,32,33,32,33,21
21,9/04,1,kin_stat1_2015Y_09M_04D_11h_26m_24s_S3-subject-21_trials_3.mat,32,33,32,32,33,32,32,32,33,31,32
27,1/13,1,kin_stat1_2015Y_11M_13D_12h_39m_41s_S3-subject-27_trials_3.mat,31,30,32,29,30,31,30,30,31,31,14
27,11/20,1,kin_stat1_2015Y_11M_20D_11h_33m_05s_S3-subject-27_trials_3.mat,31,31,31,31,31,32,32,32,32,32,25
27,11/23,2,kin_stat1_2015Y_11M_23D_11h_16m_05s_S3-subject-27_trials_3.mat,32,32,29,31,32,32,32,33,32,32,27
27,12/01,3,kin_stat1_2015Y_12M_01D_11h_13m_18s_S3-subject-27_trials_3.mat,33,32,32,32,31,30,31,32,32,32,27
27,12/11,3,kin_stat1_2015Y_12M_11D_09h_49m_14s_S3-subject-27_trials_3.mat,32,32,31,33,32,31,28,31,31,32,22
27,2/05,1,kin_stat1_2016Y_02M_05D_10h_17m_53s_S3-subject-27_trials_3.mat,32,31,32,33,32,32,32,33,32,32,31
52,11/17,2,kin_stat1_2017Y_11M_17D_13h_50m_05s_S3-subject-52_trials_2.mat,32,30,31,31,30,30,31,31,31,28,14
52,12/04,2,kin_stat1_2017Y_12M_04D_14h_57m_33s_S3-subject-52_trials_2.mat,32,31,32,32,31,29,32,32,31,29,6
52,12/18,1,kin_stat1_2017Y_12M_18D_14h_42m_15s_S3-subject-52_trials_3.mat,29,32,29,31,29,31,30,31,29,31,8
52,2/15,3,kin_stat1_2018Y_02M_15D_12h_55m_56s_S3-subject-52_trials_3.mat,28,31,31,28,30,31,31,31,31,29,8
25,10/16,1,kin_stat1_2015Y_10M_16D_13h_27m_49s_S3-subject-25_trials_3.mat,31,31,31,31,31,31,31,31,31,31,20
25,10/09,2,kin_stat1_2015Y_10M_09D_13h_24m_43s_S3-subject-25_trials_3.mat,31,31,31,30,31,31,31,31,31,31,19
30,2/19,1,kin_stat1_2016Y_02M_19D_15h_27m_33s_S3-subject-30_trials_2.mat,31,31,32,31,31,31,31,31,31,31,21
30,3/25,1,kin_stat1_2016Y_03M_25D_15h_24m_21s_S3-subject-30_trials_3.mat,31,31,31,31,31,31,30,31,31,31,19
30,4/15,1,kin_stat1_2016Y_04M_15D_15h_15m_29s_S3-subject-30_trials_3.mat,31,31,31,32,31,31,31,31,30,31,20
23,10/26,3,kin_stat1_2015Y_10M_26D_13h_17m_43s_S3-subject-23_trials_3.mat,29,28,31,31,29,30,31,31,31,31,9
25,11/16,2,kin_stat1_2015Y_11M_16D_12h_02m_22s_S3-subject-25_trials_3.mat,31,31,32,31,31,31,31,31,31,31,21
29,4/29,2,kin_stat1_2016Y_04M_29D_12h_33m_00s_S3-subject-29_trials_3.mat,33,32,32,32,33,32,32,32,31,32,31
16,6/26,3,kin_stat1_2015Y_06M_26D_11h_20m_04s_S3-subject-16_trials_3.mat,30,31,31,32,32,31,32,31,31,31,22
31,5/4,2,kin_stat1_2016Y_05M_04D_08h_48m_57s_S3-subject-31_trials_3.mat,32,32,32,32,31,31,32,32,31,31,26
